#,Player,Lastname,FirstName,Team,Pos,Avg. Pick,Min. Pick,Max. Pick,# Drafts Selected In,Season
1469,"Jones, Julio ATL WR","Jones,",Julio,ATL,WR,16.57,1,219,8308,2014
1470,"Marshall, Brandon CHI WR","Marshall,",Brandon,CHI,WR,17.15,1,223,8307,2014
1471,"Ball, Montee DEN RB","Ball,",Montee,DEN,RB,18.19,1,278,8320,2014
1472,"Murray, DeMarco DAL RB","Murray,",DeMarco,DAL,RB,18.9,1,219,8314,2014
1473,"Bernard, Giovani CIN RB","Bernard,",Giovani,CIN,RB,21.43,1,222,8287,2014
1474,"Nelson, Jordy GBP WR","Nelson,",Jordy,GBP,WR,23.11,1,212,8314,2014
1475,"Brown, Antonio PIT WR","Brown,",Antonio,PIT,WR,23.99,1,208,8316,2014
1476,"Jeffery, Alshon CHI WR","Jeffery,",Alshon,CHI,WR,25.02,1,226,8295,2014
1477,"Martin, Doug TBB RB","Martin,",Doug,TBB,RB,25.96,1,195,8332,2014
1478,"Foster, Arian HOU RB","Foster,",Arian,HOU,RB,26.48,1,251,8328,2014
1479,"Bell, Le'Veon PIT RB","Bell,",Le'Veon,PIT,RB,27.63,1,224,8282,2014
1480,"Cobb, Randall GBP WR","Cobb,",Randall,GBP,WR,28.88,1,242,8340,2014
1481,"Thomas, Julius DEN TE","Thomas,",Julius,DEN,TE,29.3,1,363,8331,2014
1482,"Gronkowski, Rob NEP TE","Gronkowski,",Rob,NEP,TE,30.43,1,216,8322,2014
1483,"Morris, Alfred WAS RB","Morris,",Alfred,WAS,RB,33.81,1,353,8319,2014
1484,"Luck, Andrew IND QB","Luck,",Andrew,IND,QB,34.54,1,217,8064,2014
1485,"Stacy, Zac STL RB","Stacy,",Zac,STL,RB,34.69,1,238,8327,2014
1486,"Ellington, Andre ARI RB","Ellington,",Andre,ARI,RB,34.83,1,221,8344,2014
1487,"Allen, Keenan SDC WR","Allen,",Keenan,SDC,WR,35.26,1,258,8345,2014
1488,"Stafford, Matthew DET QB","Stafford,",Matthew,DET,QB,36.03,1,215,8087,2014
1489,"Bush, Reggie DET RB","Bush,",Reggie,DET,RB,39.02,1,277,8358,2014
1490,"Garcon, Pierre WAS WR","Garcon,",Pierre,WAS,WR,42.13,1,247,8349,2014
1491,"Jackson, Vincent TBB WR","Jackson,",Vincent,TBB,WR,42.77,1,234,8367,2014
1492,"Cruz, Victor NYG WR","Cruz,",Victor,NYG,WR,42.92,2,222,8355,2014
1493,"Johnson, Andre HOU WR","Johnson,",Andre,HOU,WR,43.12,1,233,8365,2014
1494,"Fitzgerald, Larry ARI WR","Fitzgerald,",Larry,ARI,WR,43.9,1,352,8369,2014
1495,"Spiller, C.J. BUF RB","Spiller,",C.J.,BUF,RB,44.47,1,309,8321,2014
1496,"Patterson, Cordarrelle MIN WR","Patterson,",Cordarrelle,MIN,WR,46.15,2,233,8339,2014
1497,"White, Roddy ATL WR","White,",Roddy,ATL,WR,49.43,2,234,8368,2014
1498,"Vereen, Shane NEP RB","Vereen,",Shane,NEP,RB,51.22,3,317,8327,2014
1499,"Harvin, Percy NYJ WR","Harvin,",Percy,NYJ,WR,51.41,2,254,8341,2014
1500,"Crabtree, Michael SFO WR","Crabtree,",Michael,SFO,WR,51.45,2,215,8347,2014
1501,"Foles, Nick PHI QB","Foles,",Nick,PHI,QB,53.84,1,250,8118,2014
1502,"Mathews, Ryan SDC RB","Mathews,",Ryan,SDC,RB,54.34,5,355,8335,2014
1503,"Jackson, DeSean WAS WR","Jackson,",DeSean,WAS,WR,55.37,4,266,8337,2014
1504,"Floyd, Michael ARI WR","Floyd,",Michael,ARI,WR,56.26,1,353,8301,2014
1505,"Brady, Tom NEP QB","Brady,",Tom,NEP,QB,57,1,243,8109,2014
1506,"Cameron, Jordan CLE TE","Cameron,",Jordan,CLE,TE,57.13,1,245,8244,2014
1507,"Davis, Vernon SFO TE","Davis,",Vernon,SFO,TE,58.01,2,384,8339,2014
1508,"Gerhart, Toby JAC RB","Gerhart,",Toby,JAC,RB,58.16,2,293,8358,2014
1509,"Hilton, T.Y. IND WR","Hilton,",T.Y.,IND,WR,58.65,8,247,8335,2014
1510,"Watt, J.J. HOU DE","Watt,",J.J.,HOU,DE,61.96,1,282,692,2014
1511,"Jennings, Rashad NYG RB","Jennings,",Rashad,NYG,RB,62.32,1,318,8333,2014
1512,"Gore, Frank SFO RB","Gore,",Frank,SFO,RB,63.61,3,341,8354,2014
1513,"Rice, Ray FA* RB*","Rice,",Ray,FA*,RB*,63.92,3,312,8318,2014
1514,"Edelman, Julian NEP WR","Edelman,",Julian,NEP,WR,64.11,3,359,8328,2014
1515,"Kuechly, Luke CAR LB","Kuechly,",Luke,CAR,LB,64.48,1,346,716,2014
1516,"Welker, Wes DEN WR","Welker,",Wes,DEN,WR,64.69,1,418,8276,2014
1517,"Ryan, Matt ATL QB","Ryan,",Matt,ATL,QB,64.74,1,228,8121,2014
1518,"Tate, Ben PIT RB","Tate,",Ben,PIT,RB,65.13,1,379,8315,2014
1519,"Smith, Torrey BAL WR","Smith,",Torrey,BAL,WR,66.56,1,256,8317,2014
1520,"Newton, Cam CAR QB","Newton,",Cam,CAR,QB,67.06,1,231,8053,2014
1521,"Sankey, Bishop TEN RB","Sankey,",Bishop,TEN,RB,67.23,1,901,8327,2014
1522,"Johnson, Chris NYJ RB","Johnson,",Chris,NYJ,RB,67.43,2,330,8319,2014
1523,"Witten, Jason DAL TE","Witten,",Jason,DAL,TE,70.21,2,428,8275,2014
1524,"Maclin, Jeremy PHI WR","Maclin,",Jeremy,PHI,WR,70.87,1,245,8325,2014
